project,go_live_date
City of Scottsdale - AZ 49337,2026-01-06
City of Gainesville - TX 55950,2026-01-07
Champaign-Urbana Public Health District - IL 49742,2026-01-12
"City and Borough of Juneau, AK - 54369",2026-01-12
City of Farmington - MO 54094,2026-01-12
City of Arcadia - CA 49555 (BM add-on),2026-02-02
City of Faribault - MN 55899,2026-02-02
City of Charleston - WV 5089,2026-02-17
City of Woodbury - MN 6603,2026-03-02
Guilford County - NC 52406 (Phase 2),2026-03-02
Hernando County - FL 50947,2026-03-02
City of Rock Island - IL 56079,2026-03-24
City of Baytown - TX 42172,2026-04-06
West Metro Fire Protection District,2026-04-13
City of Sweetwater - FL 50245,2026-04-20
City of Allen - TX 48500,2026-04-27
City of Pasadena - TX (EPL) 49331,2026-04-28
City of Allentown - PA 5041,2026-05-04
City of Columbia Heights - MN 57208,2026-05-04
City of Oakley - CA 5230,2026-05-05
City of St Charles - MO 50229,2026-05-05
City of Staunton - VA 4730,2026-05-05
City of Sulphur - LA 50477,2026-05-05
Hennepin County Health - MN 48979,2026-05-11
Public Health - Idaho North Central District - District #2 - ID 51821,2026-05-11
City of Calera - AL 42383,2026-05-18
City of West Palm Beach - FL 53525 - Phase 2,2026-05-18
Salem County Health - NJ 51993,2026-05-18
City of Napa - CA 5219,2026-05-19
City of Palo Alto - CA 52541,2026-05-26
Indian Trail Improvement District - FL 55411,2026-05-26
City of Diamond Bar - CA 53198,2026-06-01
City of Flowery Branch - GA 51845,2026-06-01
Queen Annes County Health - MD 51267,2026-06-01
City of Edwardsville - IL 42896,2026-06-02
"City of Kankakee, IL",2026-06-08
Columbus County Health - NC 51813,2026-06-08
Upper Macungie Township - PA 55897,2026-06-08
City of Los Banos - CA 54772,2026-06-15
City of Minneapolis - MN 53700,2026-06-15
Imperial County - CA 49475,2026-06-15
"City of Mequon, WI",2026-06-16
